Trait NGWAS UKBBcode BBJclumps UKBBclumps
Basophil 82665 30160 8939 8690
BMI 150426 21001 19114 21339
DBP 132991 4079 9865 14213
Eosinophil 83675 30150 9266 13061
Hb 139653 30020 10483 16184
Height 151569 50 37216 31854
Ht 139947 30030 10554 15408
Lymphocyte 86157 30120 9400 13648
MCH 116249 30050 12598 15222
MCHC 123232 30060 10272 10074
MCV 117912 30040 13169 16354
Monocyte 85593 30130 10886 13452
Neutrophil 74287 30140 9150 12211
Platelet 135610 30080 14843 19259
RBC 140426 30010 12467 18069
SBP 132981 4080 11231 14562
WBC 141158 30000 12664 17581
